,name,affiliation,race,status,devil_fruit,origin,haki,bounty,devil_fruit_type
0,A O,A O Pirates,Human,Unknown,Unknown,,,,Unknown
1,Abdullah,Ideo Pirates,Human,Alive,Unknown,,,,Unknown
2,Absalom,Thriller Bark Pirates,Human,Deceased,Suke Suke no Mi,West Blue,,,Paramecia
3,Acilia,,Human,Alive,Unknown,,,,Unknown
4,Adele,Mermaid Café,Merfolk,Alive,Unknown,Grand Line,,,Unknown
5,Aegir,Walrus School,Giant,Alive,Unknown,,,,Unknown
6,Ageha Woman,Beasts Pirates,Human,Alive,Swallowtail Butterfly SMILE,,,,Zoan
7,Aggie 68,Spade Pirates,Human,Alive,Unknown,,,,Unknown
8,Agotogi,Agotogi Sand Merchants,Human,Alive,Unknown,,,,Unknown
9,Agsilly,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
10,Agyo,,Animal,Alive,Unknown,,,,Unknown
11,Ahho Desunen IX,Goa Kingdom,Human,Alive,Unknown,,,,Unknown
12,Ahho Zurako,Goa Kingdom,Human,Alive,Unknown,,,,Unknown
13,Ahiru,Revolutionary Army,Human,Alive,Unknown,,,,Unknown
14,Aisa,Wagomuland,Moon people - Shandian,Alive,Unknown,Sky Islands (Skypiea),['Observation'],,Unknown
15,Akehende,Marines,Human,Alive,Unknown,,,200000000,Unknown
16,Akudai Kanzaburo,,Human,Alive,Unknown,,,,Unknown
17,Akumai,Baroque Works (Billions) (former),Human,Alive,Unknown,Grand Line,,,Unknown
18,Aladine,Sun Pirates,Merfolk,Alive,Unknown,Grand Line,,,Unknown
19,Albion,Fake Straw Hat Crew (Former),Human,Alive,Unknown,,,92000000,Unknown
20,Alice,Galley-La Company,Human,Alive,Unknown,,,,Unknown
21,Ally,,Human,Alive,Unknown,,,,Unknown
22,Alpacaman,Beasts Pirates,Human,Alive,Alpaca SMILE,,,,Zoan
23,Alpha,CP8,Human,Alive,Unknown,,,,Unknown
24,Alvida,Cross Guild,Human,Alive,Sube Sube no Mi,East Blue,,5000000,Paramecia
25,Amadob,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
26,Amazon,Wagomuland,Moon people - Skypiean,Alive,Unknown,Sky Islands (Skypiea),,,Unknown
27,An Zengaiina,,Human,Alive,Unknown,Grand Line,,"Over 15,000,000",Unknown
28,Anba,,Human,Unknown,Unknown,,,,Unknown
29,And,World Government,Human,Unknown,Unknown,Grand Line,,,Unknown
30,Andre,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
31,Ange,Walrus School,Giant,Alive,Unknown,,,,Unknown
32,Anjo,,Human,Alive,Unknown,East Blue,,,Unknown
33,Ankoro,Flying Pirates,Animal,Alive,Unknown,,,,Unknown
34,Antonio,Antonio's Graman,Human,Alive,Unknown,,,,Unknown
35,Aphelandra,Kuja,Human,Alive,Unknown,Calm Belt (Amazon Lily),['Armament'],,Unknown
36,Aramaki [Ryokugyu],Marines,Human,Alive,Mori Mori no Mi,South Blue (Taya Kingdom),"['Observation', 'Armament']",3000000000,Logia
37,Arber [King],Beasts Pirates,Lunarian,Alive,"Ryu Ryu no Mi, Model: Pteranodon",Grand Line,"['Observation', 'Armament']",1390000000,Zoan
38,Aremo Ganmi,,Human,Alive,Unknown,,,,Unknown
39,Arlong,Arlong Pirates,Fish-man,Alive,Unknown,Grand Line (Ryugu Kingdom),,20000000,Unknown
40,Arrow,Arabasta Kingdom,Human,Deceased,Unknown,,,,Unknown
41,Arthur,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
42,Aruyutayan V,Lvneel Kingdom,Human,Deceased,Unknown,North Blue (Lvneel Kingdom),,,Unknown
43,Asahija,Marines,Human,Alive,Unknown,,,100000,Unknown
44,Asashichi,,Human,Alive,Unknown,,,,Unknown
45,Ashura Doji,Kouzuki Family,Human,Deceased,Unknown,Grand Line (Wano Country),"['Observation', 'Armament']",,Unknown
46,Asla,Warland Kingdom,Animal,Deceased,Unknown,,,,Unknown
47,Aswa,,Human,Unknown,Unknown,,,,Unknown
48,Atagoyama,,Human,Alive,Unknown,,,,Unknown
49,Atlas,Marines (SSG),Robot,Alive,Unknown,Grand Line (Egghead),,,Unknown
50,Atmos,Whitebeard Pirates,Human,Alive,Unknown,West Blue,,,Unknown
51,Attach,World Economy News Paper,Human,Unknown,Unknown,,,,Unknown
52,Avalo Pizarro,Blackbeard Pirates,Human,Alive,Shima Shima no Mi,North Blue,,,Paramecia
53,Ayesé Mar,Marines ,Human,Alive,Unknown,,,,Unknown
54,Azuki,,Human,Alive,Unknown,,,,Unknown
55,Babanuki,Beasts Pirates,Human,Alive,Elephant SMILE,,,,Zoan
56,Babe [Mr. 4],New Spiders Cafe,Human,Alive,Unknown,Grand Line,,3200000,Unknown
57,Baburu,,Human,Alive,Unknown,Grand Line,,,Unknown
58,Baby 5,Happo Navy,Human,Alive,Buki Buki no Mi,North Blue,,,Paramecia
59,Bacura,Kuja,Animal,Alive,Unknown,Calm Belt (Amazon Lily),,,Unknown
60,Baggaley,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
61,Bakezo,Marines ,Human,Alive,Unknown,,,,Unknown
62,Ban Dedessinée,Frauce Kingdom,Human,Alive,Unknown,East Blue,,,Unknown
63,Banchi,Baroque Works (former),Animal,Alive,Unknown,West Blue,,,Unknown
64,Banchina,,Human,Deceased,Unknown,East Blue (Syrup Village),,,Unknown
65,Bankuro,Roger Pirates,Human,Unknown,Unknown,,,,Unknown
66,Banshee,Spade Pirates,Merfolk,Alive,Unknown,,,,Unknown
67,Banzaburo,Kouzuki Family,Human,Deceased,Unknown,,,,Unknown
68,Bao,Thriller Bark Pirates,Devil Fruit creation,Deceased,Unknown,,,,Unknown
69,Bao Huang,Beasts Pirates,Human,Alive,Flying Squirrel SMILE,,,,Zoan
70,Barbel,Rocks Pirates (former),Fish-man,Unknown,Unknown,,,,Unknown
71,Bariete,Mokomo Dukedom,Mink,Alive,Unknown,,,,Unknown
72,Barrel,Arabasta Kingdom,Human,Deceased,Unknown,,,,Unknown
73,Barry,Spade Pirates,Human,Alive,Unknown,,,,Unknown
74,Bartholomew Kuma,Revolutionary Army,Buccaneer,Alive,Nikyu Nikyu no Mi,South Blue (Sorbet Kingdom),"['Observation', 'Armament']",296000000,Paramecia
75,Bartolomeo,Barto Club,Human,Unknown,Bari Bari no Mi,East Blue,,200000000,Paramecia
76,Bas,World Government,Human,Unknown,Unknown,Grand Line,,,Unknown
77,Basil Hawkins,Hawkins Pirates,Human,Deceased,Wara Wara no Mi,North Blue,"['Observation', 'Armament']",320000000,Paramecia
78,Basilisk,Impel Down,Animal,Alive,Unknown,West Blue,,,Unknown
79,Bastille,Marines,Human,Alive,Unknown,Grand Line,"['Observation', 'Armament']",500000000,Unknown
80,Batchee,,Animal,Unknown,Unknown,East Blue,,,Unknown
81,Batman,Beasts Pirates,Human,Alive,Bat SMILE,,,,Unknown
82,Battaman,Beasts Pirates,Human,Alive,Gastrimargus Grasshopper SMILE,,,,Zoan
83,Baxcon,Tontatta Kingdom,Dwarf,Alive,Unknown,,,,Unknown
84,Beak Remark,,Human,Alive,Unknown,,,,Unknown
85,Beegirl,Beasts Pirates,Human,Alive,Wasp SMILE,,,,Zoan
86,Beer VI,Roshwan Kingdom,Human,Alive,Unknown,,,,Unknown
87,Beetleman,Beasts Pirates,Human,Alive,Rhino Beetle SMILE,,,,Zoan
88,Bekori,Sorbet Kingdom (former),Human,Unknown,Unknown,,,,Unknown
89,Bell-mère,Marines (former),Human,Deceased,Unknown,East Blue (Conomi Islands),,,Unknown
90,Belladonna,Kuja,Human,Alive,Unknown,Calm Belt (Amazon Lily),['Armament'],,Unknown
91,Bellamy,Donquixote Pirates (former),Human,Alive,Bane Bane no Mi,North Blue (Notice),"['Observation', 'Armament']",195000000,Paramecia
92,Bellett,Unnamed kingdom (former),Human,Alive,Unknown,,,,Unknown
93,Belo Betty,Revolutionary Army,Human,Alive,Kobu Kobu no Mi,East Blue,"['Observation', 'Armament']",457000000,Paramecia
94,Benn Beckman,Red Hair Pirates,Human,Alive,Unknown,North Blue,['Armament'],,Unknown
95,Bent,Walrus School,Giant,Alive,Unknown,,,,Unknown
96,Bentham (Bon Clay) [Mr. 2],Newkama Land,Human,Alive,Mane Mane no Mi,East Blue,,32000000,Paramecia
97,Bepo,Heart Pirates,Mink,Alive,Unknown,Grand Line (Mokomo Dukedom),,1500,Unknown
98,Bian,Tontatta Kingdom,Dwarf,Alive,"Mushi Mushi no Mi, Model: Suzumebachi",,,,Zoan
99,Biblo,Owl Library,Animal,Alive,Iku Iku no Mi,Grand Line (Elbaph),,,Paramecia
100,Big Pan,Foxy Pirates (former),Wotan (Giant-Fish-man hybrid),Alive,Unknown,,,,Unknown
101,Billy,Yes Pirates,Human,Alive,Unknown,,,3000000,Unknown
102,Bimine,Pucci,Human,Alive,Unknown,,,,Unknown
103,Bingo,,Human,Alive,Unknown,,,,Unknown
104,Birdy,Poseidon,Animal,Alive,Unknown,,,,Unknown
105,Bishamon,Beasts Pirates,Human,Alive,Unknown,Grand Line (Wano Country),,,Unknown
106,Bishonure-Onna,Beasts Pirates,Human,Alive,Python SMILE,,,,Zoan
107,Bisley,Beasts Pirates (Armored Division),Human,Alive,Hedgehog SMILE,,,,Zoan
108,Biyo,,Human,Alive,Unknown,,,,Unknown
109,Bizarre,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
110,Bjorn ,Walrus School,Giant,Alive,Unknown,,,,Unknown
111,Bjorn,Giant Warrior Pirates,Giant,Alive,Unknown,,,,Unknown
112,Black Maria,Beasts Pirates (Tobiroppo),Human,Alive,"Kumo Kumo no Mi, Model: Rosamygale Grauvogeli",Grand Line (Wano Country),"['Observation', 'Armament']",480000000,Zoan
113,Blackback [BB],Mokomo Dukedom,Mink,Alive,Unknown,,,,Unknown
114,Blade,Walrus School,Giant,Alive,Unknown,,,,Unknown
115,Blakey,Ryugu Kingdom,Fish-man,Alive,Unknown,Grand Line,,,Unknown
116,Blamenco,Whitebeard Pirates,Human,Alive,Poke Poke no Mi,South Blue,,,Paramecia
117,Blenheim,Whitebeard Pirates,Human,Alive,Unknown,Grand Line,,,Unknown
118,Blondie,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
119,Blue Fan,Kuja,Human,Alive,Unknown,Calm Belt (Amazon Lily),['Armament'],,Unknown
120,Blue Gilly,Ideo Pirates,Longleg,Alive,Unknown,Grand Line,,,Unknown
121,Bluegrass,Marines,Human,Alive,Nori Nori no Mi,,['Armament'],500000000,Paramecia
122,Bluejam,Bluejam Pirates,Human,Unknown,Unknown,East Blue (Goa Kingdom),,14300000,Unknown
123,Blueno,CP0,Human,Alive,Doa Doa no Mi,North Blue,"['Observation', 'Armament']",,Paramecia
124,Blumarine,Roger Pirates,Human,Unknown,Unknown,,,,Unknown
125,Boa Hancock,Kuja,Human,Alive,Mero Mero no Mi,Calm Belt (Amazon Lily),"['Conquerors', 'Observation', 'Armament']",1659000000,Paramecia
126,Boa Marigold,Kuja,Human,Alive,"Hebi Hebi no Mi, Model: King Cobra",Calm Belt (Amazon Lily),"['Observation', 'Armament']",40000000,Zoan
127,Boa Sandersonia,Kuja,Human,Alive,"Hebi Hebi no Mi, Model: Anaconda",Calm Belt (Amazon Lily),"['Observation', 'Armament']",40000000,Zoan
128,Bobbin,Big Mom Pirates,Human,Unknown,Unknown,,,105500000,Unknown
129,Bobby Funk,Mogaro Kingdom,Human,Alive,Unknown,Grand Line (Mogaro Kingdom),,36000000,Unknown
130,Bobomba,Tontatta Kingdom,Dwarf,Alive,Unknown,,,,Unknown
131,Bogard,Marines ,Human,Alive,Unknown,,,,Unknown
132,Bomba,Marines ,Human,Alive,Unknown,,,,Unknown
133,Bomba,Tontatta Kingdom,Dwarf,Alive,Unknown,,,,Unknown
134,Bongo,,Human,Alive,Unknown,,,,Unknown
135,Bonk Punch,Red Hair Pirates,Human,Alive,Unknown,,,,Unknown
136,Boo,Happo Navy,Human,Alive,Unknown,,['Armament'],,Unknown
137,Boodle,,Human,Alive,Unknown,East Blue (Organ Islands),,,Unknown
138,Boogie,Kid Pirates,Human,Unknown,Unknown,,,,Unknown
139,Borsalino [Kizaru],Marines,Human,Alive,Pika Pika no Mi,North Blue,"['Observation', 'Armament']",3000000000,Logia
140,Bourbon Jr.,Arabasta Kingdom,Animal,Alive,Unknown,,,,Unknown
141,Braham,God's Guards,Moon people - Shandian,Alive,Unknown,Sky Islands (Skypiea),,,Unknown
